epoch;loss;lr;val_loss
0;0.0016725733876228333;0.001;0.006527695804834366
1;0.0016021878691390157;0.001;0.0015046402113512158
2;0.001544770086184144;0.001;0.0013874729629606009
3;0.0015256848419085145;0.001;0.0013638086384162307
4;0.001408261712640524;0.00020000001;0.0012725124834105372
5;0.0014017133507877588;0.00020000001;0.0012723018880933523
6;0.0013761748559772968;4.0000003e-05;0.0012481283629313111
7;0.0013700639829039574;8.000001e-06;0.0012458044802770019
8;0.001368681900203228;1.6000001e-06;0.001245402148924768
9;0.0013684487203136086;1e-06;0.001245926134288311
10;0.0013684681616723537;1e-06;0.0012453817762434483
11;0.0013684086734429002;1e-06;0.0012455196119844913
12;0.0013683857396245003;1e-06;0.001245514489710331
13;0.001368325320072472;1e-06;0.001245539402589202
14;0.0013683425495401025;1e-06;0.0012452929513528943
